dataset_id,sample_id,condition_id,request_id,status,disposition,generation_attempted,processing_latency_ms,generation_latency_ms,retrieval_latency_ms,validation_latency_ms,cpu_time_ms,memory_rss_delta_bytes
ULB,FOLLOWUP_ULB_142,A_direct,5ae4807f-4916-469e-b824-0bc7ca8f1c6a,completed,generated_released,True,9547.573,9542.296,0.0,0.013,1574.425,16384.0
ULB,FOLLOWUP_ULB_146,C_dense,5ee60e0d-56ae-4529-99cf-b1b4327f887e,blocked,generated_blocked,True,13728.494,13718.092,5.653,0.033,1607.446,851968.0
ULB,FOLLOWUP_ULB_142,B_dense,72e3a9ed-9efe-4f4d-aeab-a2cc5775be41,completed,generated_released,True,12397.937,12388.124,5.195,0.02,1445.595,-2834432.0
ULB,FOLLOWUP_ULB_146,A_direct,745da83c-5ee4-468a-9fd9-2fac40b773a6,completed,generated_released,True,10409.573,10403.755,0.0,0.013,1706.947,868352.0
ULB,FOLLOWUP_ULB_141,D_hybrid,77462286-4220-46e6-93cc-c84c3e00b3bc,blocked,generated_blocked,True,11746.986,11726.888,15.334,0.043,1331.06,3702784.0
ULB,FOLLOWUP_ULB_149,A_direct,7abd8f6a-195f-4c44-87db-d51f125d5d55,completed,generated_released,True,10423.25,10418.624,0.0,0.016,1642.141,1294336.0
ULB,FOLLOWUP_ULB_145,C_lexical,7cf0de6f-451c-4083-b557-4bec5759e107,completed,generated_released,True,15474.296,15458.844,9.661,0.069,1886.034,-2473984.0
ULB,FOLLOWUP_ULB_147,D_hybrid,7dc587b4-911a-41de-9bc3-105a66bcae6a,blocked,generated_blocked,True,14840.951,14820.119,15.922,0.029,1714.735,-1605632.0
ULB,FOLLOWUP_ULB_143,B_dense,84a87ca5-3024-43b3-9994-bd0b8dd73ce9,completed,generated_released,True,16024.655,16014.893,5.104,0.023,1919.202,802816.0
ULB,FOLLOWUP_ULB_142,D_hybrid,871f5e97-15af-4d4f-b4ab-ded5582d883a,blocked,generated_blocked,True,13943.949,13923.078,16.099,0.034,1631.289,-2899968.0
ULB,FOLLOWUP_ULB_146,B_dense,87c93788-5f17-4acc-99b9-b42a234881a7,completed,generated_released,True,14196.137,14184.246,6.301,0.013,1685.986,3768320.0
ULB,FOLLOWUP_ULB_149,C_lexical,8878b598-dee0-4fcf-92b8-f51b8b62a3ac,blocked,generated_blocked,True,13087.787,12986.262,39.776,0.304,1436.141,25165824.0
ULB,FOLLOWUP_ULB_143,C_dense,92944e62-1d8e-4bfe-9b63-f0fb5aa697ca,blocked,generated_blocked,True,16176.804,16166.989,5.056,0.025,1942.07,753664.0
ULB,FOLLOWUP_ULB_142,C_lexical,93ab36a4-ffca-4a08-90a5-0aee78ff831b,blocked,generated_blocked,True,13723.859,13709.603,9.625,0.033,1595.703,-49152.0
ULB,FOLLOWUP_ULB_145,D_hybrid,99bc5848-b133-4a3e-b16e-3ac3b993cb1e,blocked,generated_blocked,True,15392.321,15368.9,17.398,0.054,1851.716,-2949120.0
ULB,FOLLOWUP_ULB_144,B_dense,9a45f9ab-9e6a-469a-b92f-d2932499c8b2,completed,generated_released,True,16045.701,16034.042,5.606,0.021,1935.445,868352.0
ULB,FOLLOWUP_ULB_146,D_hybrid,9a6e81fd-0c12-4eaf-875e-158cd1d60fd3,blocked,generated_blocked,True,13542.983,13521.215,16.015,0.044,1571.156,1064960.0
ULB,FOLLOWUP_ULB_141,C_dense,9c891435-a7b6-4db2-a65a-7048a536226c,blocked,generated_blocked,True,13467.592,13457.398,5.131,0.038,1575.855,704512.0
ULB,FOLLOWUP_ULB_150,C_lexical,9cdea851-3e97-49bc-ba23-ae4142077084,blocked,generated_blocked,True,13056.237,13041.055,10.447,0.025,1545.18,917504.0
ULB,FOLLOWUP_ULB_143,D_hybrid,9d7e56fa-4d9d-417e-911d-50b1e947cd8d,blocked,generated_blocked,True,16238.267,16217.979,15.499,0.024,1894.417,655360.0
ULB,FOLLOWUP_ULB_147,C_dense,9fcb54d5-cbe1-4d11-a547-8c6bf4be8edf,blocked,generated_blocked,True,13197.94,13187.038,6.163,0.022,1598.89,32768.0
ULB,FOLLOWUP_ULB_145,B_dense,a05920c1-cce0-4318-9055-53e7e18d4533,completed,generated_released,True,16080.699,16068.169,5.972,0.022,1939.314,0.0
ULB,FOLLOWUP_ULB_144,B_lexical,a9853c5a-1842-4599-8bb4-deae0c51b129,completed,generated_released,True,12898.508,12883.238,10.087,0.018,1907.368,884736.0
ULB,FOLLOWUP_ULB_150,A_direct,b5a78b72-4532-49c4-83b5-fdb1b088ab51,completed,generated_released,True,9839.075,9834.594,0.0,0.013,1621.117,819200.0
ULB,FOLLOWUP_ULB_145,C_dense,b6c07e0d-83ec-49f9-9471-e934fb38bf18,blocked,generated_blocked,True,14799.466,14788.062,5.363,0.049,1998.102,2981888.0
ULB,FOLLOWUP_ULB_150,D_hybrid,b9ebcc90-2ef8-427e-ad0f-0b1d4f811a0a,blocked,generated_blocked,True,12972.151,12952.115,15.316,0.037,1469.65,688128.0
